device,outliyr_page,brand,device_category,device_class,trust_tier,price_usd,rating,claimed_irradiance_mw_cm2,claimed_irradiance_distance_in,claimed_irradiance_at_12in,claim_source_url,claim_captured_date,measured_irradiance_6in,measured_irradiance_12in,measured_irradiance_18in,uniformity_ratio,wavelengths_nm,claimed_wavelengths_nm,flicker_index,flicker_percent,emf_electric_v_m,emf_magnetic_6in_mg,emf_magnetic_0in_mg,dirty_electricity_delta_gs,wall_power_draw_w,noise_db,last_tested
"Advantage 450",https://outliyr.com/app/light-therapy-comparison,"Red Light Rising",panel,,spec-sheet,1170,,77.6,6,31,,,,,,,"630,660,810,830,850","630,660,810,830,850",,,,,,,,,
"Advantage 900 2.0",https://outliyr.com/app/light-therapy-comparison,"Red Light Rising",panel,,spec-sheet,1220,,77.6,6,31,,,,,,,"630,660,810,830,850","630,660,810,830,850",,,,,,,,,
"BioMax 300",https://outliyr.com/app/light-therapy-comparison,PlatinumLED,panel,,spec-sheet,659,,124,6,50,,,,,,,"480,630,660,810,830,850,1060","480,630,660,810,830,850,1060",,,,,,,,,
"BioMax 450",https://outliyr.com/app/light-therapy-comparison,PlatinumLED,panel,,spec-sheet,799,,127,6,51,,,,,,,"480,630,660,810,830,850,1060","480,630,660,810,830,850,1060",,,,,,,,,
"BioMax 600",https://outliyr.com/app/light-therapy-comparison,PlatinumLED,panel,,spec-sheet,1049,,129,6,52,,,,,,,"480,630,660,810,830,850,1060","480,630,660,810,830,850,1060",,,,,,,,,
"BlockBlueLight PowerPanel MEGA",https://outliyr.com/app/light-therapy-comparison,BlockBlueLight,panel,,spec-sheet,1499,4,,,,,,,,,,"630,660,810,830,850",,,,,,,,,,
BQ60,https://outliyr.com/app/light-therapy-comparison,Bestqool,panel,,,189,,,,,,,,,,,,,,,,,,,,,
"BQ60 Pro",https://outliyr.com/app/light-therapy-comparison,Bestqool,panel,,,299,,,,,,,,,,,,,,,,,,,,,
"Day-Light Classic Plus",https://outliyr.com/app/light-therapy-comparison,Carex,full-spectrum,,,170,,,,,,,,,,,,,,,,,,,,,
"Diesel XL Shortie",https://outliyr.com/app/light-therapy-comparison,LightPath,panel,tabletop,verified,1624,4.2,78,12,78,https://lightpathled.com/products/diesel-xl-shortie-copy,2026-06-21,,49.32,,,"620,670,810",,,46.8,,0.8,12.5,,,38.4,
"Elite 1.0",https://outliyr.com/app/light-therapy-comparison,"Vital Red Light",panel,,verified,1129,,,,,https://vitalredlight.com/products/vital-elite,2026-06-21,,78.3,,,"630,660,830,850",,,,,0.4,12,,,42.7,
"Face Mask 2.0",https://outliyr.com/app/light-therapy-comparison,Kala,wearable,,spec-sheet,400,,,,,,,,,,,"465,630,830","465,630,830",,,,,,,,,
"Firestorm Pro",https://outliyr.com/app/light-therapy-comparison,EMR-TEK,panel,,spec-sheet,1000,,162,12,162,,,,,,,"630,670,830","630,670,830",,,,,,,,,
Firewave,https://outliyr.com/app/light-therapy-comparison,EMR-TEK,panel,,spec-sheet,400,,200,1,,,,,,,,"630,670,830","630,670,830",,,,,,,,,
"Firewave Pro",https://outliyr.com/app/light-therapy-comparison,EMR-TEK,panel,,spec-sheet,450,,214.5,4,,,,,,,,"630,670,850","630,670,850",,,,,,,,,
FlexBeam,https://outliyr.com/app/light-therapy-comparison,"Recharge Health",wearable,wearable,spec-sheet,549,,,,,,,,,,,"622,814",,,,,,,,,,
"Go 2.0",https://outliyr.com/app/light-therapy-comparison,Joovv,panel,,spec-sheet,549,,90,6,36,,,,,,,"660,850","660,850",,,,,,,,,
"Half Stack 3.0",https://outliyr.com/app/light-therapy-comparison,"Red Light Rising",panel,,spec-sheet,760,,203,0,57,,,,,,,"630,660,810,850","630,660,810,850",,,,,,,,,
"HappyLight Luxe",https://outliyr.com/app/light-therapy-comparison,Verilux,full-spectrum,,,70,,,,,,,,,,,,,,,,,,,,,
HG1000,https://outliyr.com/app/light-therapy-comparison,Hooga,panel,,spec-sheet,599,,98,6,39,,,,,,,"660,850","660,850",,,,,,,,,
HG500,https://outliyr.com/app/light-therapy-comparison,Hooga,panel,,spec-sheet,359,,94,6,38,,,,,,,"660,850","660,850",,,,,,,,,
"Hooga HG300 Red Light",https://outliyr.com/app/light-therapy-comparison,Hooga,panel,tabletop,spec-sheet,159,,,,,,,,,,,"660,850",,,,,,,,,,
"Kala Red Light Elite",https://outliyr.com/app/light-therapy-comparison,Kala,panel,full-body,spec-sheet,1499,,,,,,,,,,,"660,850",,,,,,,,,,
"Kineon MOVE+ Pro",https://outliyr.com/app/light-therapy-comparison,Kineon,wearable,,verified,499,,,,,https://kineon.io/products/red-light-therapy-device,2026-06-21,,32,,,"660,808",,,,,3,3,,,,
"Krypton UV Mini Pro",https://outliyr.com/app/light-therapy-comparison,EMR-TEK,full-spectrum,,spec-sheet,799,4.15,,,,,,,,,,"310,365,630,670,830","310,365,630,670,830",,,,,,,,,
"LED Facial Mask",https://outliyr.com/app/light-therapy-comparison,"Rojo Light Therapy",wearable,,spec-sheet,310,,,,,,,,,,,"415,590,660,850","415,590,660,850",,,,,,,,,
"Light Pad",https://outliyr.com/app/light-therapy-comparison,NovaaLab,wearable,,spec-sheet,350,,,,,,,,,,,"660,850","660,850",,,,,,,,,
"Luminousred Model 2 Pro",https://outliyr.com/app/light-therapy-comparison,Luminousred,panel,,verified,2200,3.7,100,0,,https://www.luminouslabs.health/products/pro-series-2-0,2026-06-21,,34.53,,,"650,850","650,850",,,,,,,,43.4,
"Lumos 2.0",https://outliyr.com/app/light-therapy-comparison,"Circadian Optics",full-spectrum,,,70,,,,,,,,,,,,,,,,,,,,,
"Max 3.0",https://outliyr.com/app/light-therapy-comparison,Joovv,panel,,spec-sheet,5999,,100,6,40,,,,,,,"660,850","660,850",,,,,,,,,
"Max Red Light Device",https://outliyr.com/app/light-therapy-comparison,"BON CHARGE",panel,,spec-sheet,999,,142,6,57,,,,,,,"660,850","660,850",,,,,,,,,
"Mini 2.0",https://outliyr.com/app/light-therapy-comparison,Kala,panel,,spec-sheet,400,,,,,,,,,,,"630,660,830,850","630,660,830,850",,,,,,,,,
"Mini 3.0",https://outliyr.com/app/light-therapy-comparison,Joovv,panel,,spec-sheet,1099,,100,6,40,,,,,,,"660,850","660,850",,,,,,,,,
"Mini Red Light Device",https://outliyr.com/app/light-therapy-comparison,"BON CHARGE",panel,,spec-sheet,299,,100,0,,,,,,,,"660,850","660,850",,,,,,,,,
"Mito Red Light MitoPRO Mobile",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",panel,portable,spec-sheet,700,,,,,,,,,,,"660,850",,,,,,,,,,
"Mito Red MitoPRO 750+",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",panel,panel,spec-sheet,1295,,,,,,,,,,,"630,660,830,850",,,,,,,,,,
"MitoADAPT MAX 4.0",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",panel,,spec-sheet,1499,,130,6,52,,,,,,,"590,630,660,670,810,830,850,940","590,630,660,670,810,830,850,940",,,,,,,,,
"MitoBOOST Intranasal",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",wearable,,spec-sheet,199,,,,,,,,,,,"450,650,1070","450,650,1070",,,,,,,,,
"MitoGLOW Face Mask",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",wearable,,spec-sheet,499,,,,,,,,,,,"465,590,630,830","465,590,630,830",,,,,,,,,
"Mitolux BTS2",https://outliyr.com/app/light-therapy-comparison,Mitolux,full-spectrum,panel,verified,699,4.37,,,,https://mitolux.com/products/bts2-vitamin-d-sunlamp,2026-06-21,,16.65,,,"295,590,630,810,830,850,940",,,,,0.55,25,,,37.8,
"Mitolux LITE",https://outliyr.com/app/light-therapy-comparison,Mitolux,full-spectrum,,,499,,,,,,,,,,,,,,,,,,,,,
"MitoMIND Brain PBM Helmet",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",brain-pbm,helmet,spec-sheet,2195,4.2,,,,,,,,,,810,,,,,,,,,,
"MitoPRO 1500+",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",panel,,spec-sheet,1169,,170,6,68,,,,,,,"630,660,830,850","630,660,830,850",,,,,,,,,
"MitoQUAD Belt",https://outliyr.com/app/light-therapy-comparison,"Mito Red Light",wearable,,spec-sheet,349,,,,,,,,,,,"630,660,810,850","630,660,810,850",,,,,,,,,
"Neuronic Light",https://outliyr.com/app/light-therapy-comparison,Neuronic,brain-pbm,helmet,spec-sheet,1599,,,,,,,,,,,1070,,,,,,,,,,
"PlatinumLED Therapy BioMax 900",https://outliyr.com/app/light-therapy-comparison,PlatinumLED,panel,panel,spec-sheet,1234,,,,,,,,,,,"480,630,660,810,830,850,1060",,,,,,,,,,
"Portable Infrared Home Spa",https://outliyr.com/app/light-therapy-comparison,SereneLife,infrared,,,200,3.5,,,,,,,,,,,,,,,,,,,,
"Pro 2.0",https://outliyr.com/app/light-therapy-comparison,"Vital Red Light",panel,,spec-sheet,599,,200,6,80,,,,,,,"480,590,630,660,670,810,830,850,1060","480,590,630,660,670,810,830,850,1060",,,,,,,,,
"Pro G4",https://outliyr.com/app/light-therapy-comparison,Rouge,panel,,spec-sheet,1196,,164,6,59,,,,,,,"630,650,660,670,810,830,850,1060","630,650,660,670,810,830,850,1060",,,,,,,,,
"Pro Panel",https://outliyr.com/app/light-therapy-comparison,Kala,panel,,spec-sheet,700,,135,6,54,,,,,,,"660,850","660,850",,,,,,,,,
Pro200,https://outliyr.com/app/light-therapy-comparison,Bestqool,panel,,,589,,,,,,,,,,,,,,,,,,,,,
ReCharge,https://outliyr.com/app/light-therapy-comparison,BioLight,panel,,spec-sheet,999,,150,6,60,,,,,,,"660,850","660,850",,,,,,,,,
"Recovery Pod",https://outliyr.com/app/light-therapy-comparison,NovaaLab,panel,,spec-sheet,2500,,,,,,,,,,,"660,850","660,850",,,,,,,,,
"Red Light Face Mask",https://outliyr.com/app/light-therapy-comparison,HigherDOSE,wearable,,spec-sheet,349,,,,,,,,,,,"630,830","630,830",,,,,,,,,
"Red Light Man Device",https://outliyr.com/app/light-therapy-comparison,"Red Light Man",panel,tabletop,spec-sheet,999,,,,,,,,,,,"620,670,760,830",,,,,,,,,,
"Red Therapy Co RedRush 840 Pulse",https://outliyr.com/app/light-therapy-comparison,"Red Therapy Co",panel,half-body,spec-sheet,1295,,,,,,,,,,,"660,850",,,,,,,,,,
"Refine 1800",https://outliyr.com/app/light-therapy-comparison,"Rojo Light Therapy",panel,,spec-sheet,2195,,75,6,30,,,,,,,"630,660,810,830,850","630,660,810,830,850",,,,,,,,,
"Refine 360",https://outliyr.com/app/light-therapy-comparison,"Rojo Light Therapy",panel,,spec-sheet,595,,75,6,30,,,,,,,"630,660,810,830,850","630,660,810,830,850",,,,,,,,,
ReStore,https://outliyr.com/app/light-therapy-comparison,BioLight,panel,,spec-sheet,1799,,150,6,60,,,,,,,"660,850","660,850",,,,,,,,,
"Rojo Light Therapy Refine 900",https://outliyr.com/app/light-therapy-comparison,"Rojo Light Therapy",panel,full-body,spec-sheet,1295,,,,,,,,,,,"630,660,810,830,850",,,,,,,,,,
"Rouge Nano",https://outliyr.com/app/light-therapy-comparison,Rouge,panel,handheld,spec-sheet,295,,,,,,,,,,,"660,850",,,,,,,,,,
"Sens.ai Ultimate Brain Trainer",https://outliyr.com/app/light-therapy-comparison,Sens.ai,brain-pbm,,spec-sheet,1500,4.31,,,,,,,,,,,,,,,,,,,,
"SOL bioBulb™",https://outliyr.com/app/light-therapy-comparison,SOLshine,full-spectrum,,spec-sheet,147,4,,,,,,,,,,"780,810,830,850,900",,,,,,,,,,
"SOL PhotoVites™ 3M",https://outliyr.com/app/light-therapy-comparison,SOLshine,full-spectrum,tabletop,verified,447,4.15,4.6,12,4.6,https://solshine.org/pages/photobiomodulation,2026-06-21,,13.5,,,"350-700,780,810,830,850,900",,,,,0.55,2.5,,,43.7,
"Solo 3.0",https://outliyr.com/app/light-therapy-comparison,Joovv,panel,,spec-sheet,1699,,100,6,40,,,,,,,"660,850","660,850",,,,,,,,,
"Tabletop G4",https://outliyr.com/app/light-therapy-comparison,Rouge,panel,,spec-sheet,645,,150,6,60,,,,,,,"630,650,660,670,810,830,850,1060","630,650,660,670,810,830,850,1060",,,,,,,,,
"Target Light 2.0",https://outliyr.com/app/light-therapy-comparison,"Red Light Rising",panel,,spec-sheet,255,,137,4,,,,,,,,"660,850","660,850",,,,,,,,,
"Thera Tri-Lite",https://outliyr.com/app/light-therapy-comparison,Therasage,panel,,spec-sheet,249,,125,6,50,,,,,,,"600,630,660,663,810,830,850,900,910,980","600,630,660,663,810,830,850,900,910,980",,,,,,,,,
"Thera Tri-Lite PLUS",https://outliyr.com/app/light-therapy-comparison,Therasage,panel,,spec-sheet,420,,130,6,52,,,,,,,"600,630,663,810,830,850,900,910,980","600,630,663,810,830,850,900,910,980",,,,,,,,,
"Thera360 Plus",https://outliyr.com/app/light-therapy-comparison,Therasage,full-spectrum,,,1428,,,,,,,,,,,,,,,,,,,,,
"Therapy Wand",https://outliyr.com/app/light-therapy-comparison,Kala,wearable,,spec-sheet,200,,,,,,,,,,,"415,630","415,630",,,,,,,,,
"Total Spectrum Mini",https://outliyr.com/app/light-therapy-comparison,"RLT Home",full-spectrum,,,495,,,,,,,,,,,,,,,,,,,,,
"TotalSpectrum Elite 7-Band",https://outliyr.com/app/light-therapy-comparison,"RLT Home",panel,full-body,verified,4995,4.6,121.62,6,,https://rlthome.com/products/totalspectrum-elite-7-bands,2026-06-21,,70.75,,,"480, 630, 660, 810, 830, 850, 1064","480, 630, 660, 810, 830, 850, 1064",,,,0.7,8,,,51.5,2026-03-08
"TotalSpectrum MAX 7-Band",https://outliyr.com/app/light-therapy-comparison,"RLT Home",panel,,,1995,,,,,,,,,,,,,,,,,,,,,
"Vielight Neuro Pro 2",https://outliyr.com/app/light-therapy-comparison,Vielight,brain-pbm,helmet,spec-sheet,5000,4,,,,,,,,,,810,,,,,,,,,,
"Vital Charge",https://outliyr.com/app/light-therapy-comparison,"Vital Red Light",panel,,spec-sheet,299,,126,3,,,,,,,,"630,660,830,850","630,660,830,850",,,,,,,,,
