product_id,slug,observation_index,metric,value,unit,origin,distance_in,geometry,device_mode,spectrum_coverage,comparison_cohort,method_id,method_version,test_run_id,tested_at,instrument,source_url,source_captured_at,status,legacy_source_field,comparison_eligible_at_12in,dose_reference_eligible,ineligibility_reason
69858,solshine,1,irradiance,13.5,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
69858,solshine,2,irradiance,4.6,mW/cm2,manufacturer_claim,12,fixed_distance,unknown,unknown,,,,,,,https://solshine.org/pages/photobiomodulation,2026-06-21,published,,0,0,"manufacturer claims are not comparison measurements"
69860,mitolux,1,irradiance,16.65,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
69983,kineon-move-pro,1,irradiance,32,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
70152,lightpath-led-therapy-panel,1,irradiance,49.32,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
70152,lightpath-led-therapy-panel,2,irradiance,78,mW/cm2,manufacturer_claim,12,fixed_distance,unknown,unknown,,,,,,,https://lightpathled.com/products/diesel-xl-shortie-copy,2026-06-21,published,,0,0,"manufacturer claims are not comparison measurements"
70996,luminousred-model-2-pro,1,irradiance,34.53,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
70996,luminousred-model-2-pro,2,irradiance,100,mW/cm2,manufacturer_claim,0,contact,unknown,unknown,,,,,,,https://www.luminouslabs.health/products/pro-series-2-0,2026-06-21,published,,0,0,"manufacturer claims are not comparison measurements"
72079,rlt-home-totalspectrum-elite,1,irradiance,70.75,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
72079,rlt-home-totalspectrum-elite,2,irradiance,121.62,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,https://rlthome.com/products/totalspectrum-elite-7-bands,2026-06-21,published,,0,0,"manufacturer claims are not comparison measurements"
72173,emr-tek-krypton-mini,1,irradiance,17.52,mW/cm2,legacy_unknown,,unknown,unknown,unknown,,,,,,,,,legacy,12in,0,0,"historical slot has no verified distance, mode or provenance"
72518,vital-red-light-vital-charge,1,irradiance,126,mW/cm2,manufacturer_claim,3,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72520,rouge-pro-g4,1,irradiance,164,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72522,red-light-rising-advantage-900,1,irradiance,77.6,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72529,joovv-solo-3-0,1,irradiance,100,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72530,joovv-go-2-0,1,irradiance,90,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72729,platinumled-biomax-600,1,irradiance,129,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72731,emr-tek-firestorm-pro,1,irradiance,162,mW/cm2,manufacturer_claim,12,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72732,mito-red-mitoadapt-max-4,1,irradiance,130,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72734,biolight-recharge,1,irradiance,150,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72735,joovv-mini-3-0,1,irradiance,100,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72736,hooga-hg500,1,irradiance,94,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72738,mito-red-mitopro-1500,1,irradiance,170,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72739,platinumled-biomax-300,1,irradiance,124,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
72740,kala-pro-panel,1,irradiance,135,mW/cm2,manufacturer_claim,6,fixed_distance,unknown,unknown,,,,,,,,,published,,0,0,"manufacturer claims are not comparison measurements"
