product_id,slug,title,subtype,trust_tier,price_usd,comparison_member,comparison_eligible_at_12in,comparable_irradiance_mw_cm2,comparison_context_key,observation_count
37188,sens-ai-brain-training-headset,"Ultimate Brain Trainer",brain-pbm,spec-sheet,1500,1,0,,,0
44694,red-light-therapy,"PowerPanel MEGA",panel,spec-sheet,1499,1,0,,,0
69858,solshine,"SOL PhotoVites™ 3M",full-spectrum,verified,447,1,0,,,2
69860,mitolux,"Mitolux BTS2",full-spectrum,verified,699,1,0,,,1
69968,hooga-hg300-red-light,"HG300 Red Light",panel,spec-sheet,159,1,0,,,0
69969,red-light-man-device,"Red Light Man Device",panel,spec-sheet,999,1,0,,,0
69971,flexbeam,FlexBeam,wearable,spec-sheet,549,1,0,,,0
69977,neuronic-light,"Neuronic Light",brain-pbm,spec-sheet,1599,1,0,,,0
69982,vielight-neuro-pro-2,"Neuro Pro 2",brain-pbm,spec-sheet,5000,1,0,,,0
69983,kineon-move-pro,"MOVE+ Pro",wearable,verified,499,1,0,,,1
69984,rouge-nano,"Rouge Nano",panel,spec-sheet,295,1,0,,,0
69986,mito-red-light-mitopro-mobile,"MitoPRO Mobile",panel,spec-sheet,700,1,0,,,0
69987,mito-red-mitopro-750,"Mito Red MitoPRO 750+",panel,spec-sheet,1295,1,0,,,0
69990,red-therapy-co-redrush-840-pulse,"RedRush 840 Pulse",panel,spec-sheet,1295,1,0,,,0
69996,platinumled-therapy-biomax-900,"Therapy BioMax 900",panel,spec-sheet,1234,1,0,,,0
69999,rojo-light-therapy-refine-900,"Refine 900",panel,spec-sheet,1295,1,0,,,0
70000,kala-red-light-elite,"Red Light Elite",panel,spec-sheet,1499,1,0,,,0
70152,lightpath-led-therapy-panel,"Diesel XL Shortie",panel,verified,1624,1,0,,,2
70996,luminousred-model-2-pro,"Model 2 Pro",panel,verified,2200,1,0,,,2
71517,mito-red-mitomind-brain-pbm,"MitoMIND Brain PBM Helmet",brain-pbm,spec-sheet,2195,1,0,,,0
72079,rlt-home-totalspectrum-elite,"TotalSpectrum Elite 7-Band",panel,verified,4995,1,0,,,2
72138,solshine-biobulb,"SOL bioBulb™",full-spectrum,spec-sheet,147,1,0,,,0
72172,vital-red-elite,"Elite 2.0",panel,spec-sheet,1499,1,0,,,0
72173,emr-tek-krypton-mini,"Krypton Mini",panel,verified,800,1,0,,,1
72518,vital-red-light-vital-charge,"Vital Charge",panel,spec-sheet,299,1,0,,,1
72520,rouge-pro-g4,"Pro G4",panel,spec-sheet,1196,1,0,,,1
72522,red-light-rising-advantage-900,"Advantage 900 2.0",panel,spec-sheet,1220,1,0,,,1
72529,joovv-solo-3-0,"Solo 3.0",panel,spec-sheet,1699,1,0,,,1
72530,joovv-go-2-0,"Go 2.0",panel,spec-sheet,549,1,0,,,1
72728,emr-tek-krypton-mini-pro-cob,"Krypton UV Mini Pro",full-spectrum,spec-sheet,799,1,0,,,0
72729,platinumled-biomax-600,"BioMax 600",panel,spec-sheet,1049,1,0,,,1
72730,mito-red-mitoglow,"MitoGLOW Face Mask",wearable,spec-sheet,499,1,0,,,0
72731,emr-tek-firestorm-pro,"Firestorm Pro",panel,spec-sheet,1000,1,0,,,1
72732,mito-red-mitoadapt-max-4,"MitoADAPT MAX 4.0",panel,spec-sheet,1499,1,0,,,1
72733,novaalab-recovery-pod,"Recovery Pod",panel,spec-sheet,2500,1,0,,,0
72734,biolight-recharge,ReCharge,panel,spec-sheet,999,1,0,,,1
72735,joovv-mini-3-0,"Mini 3.0",panel,spec-sheet,1099,1,0,,,1
72736,hooga-hg500,HG500,panel,spec-sheet,359,1,0,,,1
72737,higherdose-red-light-face-mask,"Red Light Face Mask",wearable,spec-sheet,349,1,0,,,0
72738,mito-red-mitopro-1500,"MitoPRO 1500+",panel,spec-sheet,1169,1,0,,,1
72739,platinumled-biomax-300,"BioMax 300",panel,spec-sheet,659,1,0,,,1
72740,kala-pro-panel,"Pro Panel",panel,spec-sheet,700,1,0,,,1
72741,red-light-rising-half-stack-3,"Half Stack 3.0",panel,spec-sheet,760,1,0,,,1
72742,therasage-tri-lite,"Thera Tri-Lite",panel,spec-sheet,249,1,0,,,1
72743,rouge-tabletop-g4,"Tabletop G4",panel,spec-sheet,645,1,0,,,1
72744,kala-mini-2,"Mini 2.0",panel,spec-sheet,400,1,0,,,0
72745,kala-therapy-wand,"Therapy Wand",wearable,spec-sheet,200,1,0,,,0
72746,kala-face-mask-2,"Face Mask 2.0",wearable,spec-sheet,400,1,0,,,0
72747,joovv-max-3-0,"Max 3.0",panel,spec-sheet,5999,1,0,,,1
72748,red-light-rising-advantage-450,"Advantage 450",panel,spec-sheet,1170,1,0,,,1
72749,mito-red-mitoquad-belt,"MitoQUAD Belt",wearable,spec-sheet,349,1,0,,,0
72750,mito-red-mitoboost,"MitoBOOST Intranasal",wearable,spec-sheet,199,1,0,,,0
72751,emr-tek-firewave-pro,"Firewave Pro",panel,spec-sheet,450,1,0,,,1
72752,biolight-restore,ReStore,panel,spec-sheet,1799,1,0,,,1
72753,vital-red-pro-2,"Pro 2.0",panel,spec-sheet,599,1,0,,,1
72754,bon-charge-max-red-light,"Max Red Light Device",panel,spec-sheet,999,1,0,,,1
72755,novaalab-light-pad,"Light Pad",wearable,spec-sheet,350,1,0,,,0
